"Severity","RuleName","ScriptName","Line","Message"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","19","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","23","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","27","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","33","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","37","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","41","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","46","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","50","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","143","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","154","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","160","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","172","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","177","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","188","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","193","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","203","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","208","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","211","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","216","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","218","Line has trailing whitespace"
